variant,stage,study_name,trial,state,value,last_val_step,last_val_nmse_prop,last_val_nmse_ls,last_val_nmse_ratio,best_val_nmse_prop,best_nmse_step,batch_size_train,batch_size_eval,val_microbatch_size,memory_cleanup_every_steps,steps,param_learning_rate_schedule,param_learning_rate,param_learning_rate_decay_fraction,param_learning_rate_final_fraction,param_weight_decay,param_nmse_loss_weight,param_grad_clip_norm,param_dropout,param_residual_scale,param_learning_rate_polynomial_power
main_d256_b4_r2,A,umiNorm_v1_b32_prb8_u34610_1dmrs_stageA_main_d256_b4_r2,0,COMPLETE,-1.219111235329411,4000,0.06581489344049866,0.11423495997829984,0.5761361797912032,0.06581489344049866,4000,32,32,16,100,4000,cosine_decay,0.0005712916127949584,1.25,0.02159904793462117,9.654662480652895e-06,0.4788048920718949,0.5,0.02639429712150497,0.18647863554958427,
main_d256_b4_r2,A,umiNorm_v1_b32_prb8_u34610_1dmrs_stageA_main_d256_b4_r2,1,COMPLETE,-1.170263318665806,4000,0.07328102157528822,0.11423495997829984,0.6414938263138424,0.07328102157528822,4000,32,32,16,100,4000,cosine_decay,0.0004983159357242532,0.75,0.012154545064008537,7.693520676908999e-07,0.12243400701824686,1.0,0.007912361628708613,0.3228873595847961,
main_d256_b4_r2,A,umiNorm_v1_b32_prb8_u34610_1dmrs_stageA_main_d256_b4_r2,2,COMPLETE,-1.228737026405716,4000,0.06355058215558529,0.11423495997829984,0.5563146533045349,0.06355058215558529,4000,32,32,16,100,4000,constant,0.0009643418646698049,,,1.2083509754787337e-07,0.16251789877216094,0.5,0.10909540498640775,0.22990166745555007,
main_d256_b4_r2,A,umiNorm_v1_b32_prb8_u34610_1dmrs_stageA_main_d256_b4_r2,3,COMPLETE,-1.1556840892870803,4000,0.07513000920880586,0.11423495997829984,0.6576796562372641,0.07513000920880586,4000,32,32,16,100,4000,cosine_decay,0.0002210893178410695,1.0,0.036430683993363126,1.613671536589336e-06,0.3169058880316735,0.5,0.03312588579968341,0.4217057595278402,
main_d256_b4_r2,A,umiNorm_v1_b32_prb8_u34610_1dmrs_stageA_main_d256_b4_r2,4,COMPLETE,-1.1288984495179917,4000,0.07840095041319728,0.11423495997829984,0.686313107897008,0.07840095041319728,4000,32,32,16,100,4000,cosine_decay,0.0002150875602723823,1.25,0.016301500139320635,2.795475110283828e-05,0.09844608545417897,1.0,0.049786317412733185,0.1508561283376549,
main_d256_b4_r2,A,umiNorm_v1_b32_prb8_u34610_1dmrs_stageA_main_d256_b4_r2,5,COMPLETE,-1.1861996388515204,4000,0.0711654974729754,0.11423495997829984,0.6229747661004482,0.0711654974729754,4000,32,32,16,100,4000,cosine_decay,0.0004568972058255479,0.75,0.02308016679308127,9.040091747332144e-06,0.05813033561196787,0.5,0.05667887955460827,0.6548860289390384,
main_d256_b4_r2,A,umiNorm_v1_b32_prb8_u34610_1dmrs_stageA_main_d256_b4_r2,6,PRUNED,-1.0722177592698985,1000,0.0880471965065226,0.106999559502583,0.8228743829959142,0.0880471965065226,1000,32,32,16,100,4000,polynomial_decay,0.0005282942092946875,0.75,0.024074361764179382,3.5182369647795597e-07,0.0963980983750926,2.0,0.06268681536019342,0.42637817769796615,1.0905445756134515
main_d256_b4_r2,A,umiNorm_v1_b32_prb8_u34610_1dmrs_stageA_main_d256_b4_r2,7,PRUNED,-1.1982230978781396,4000,0.06924437840158741,0.11423495997829984,0.6061575056772561,0.06924437840158741,4000,32,32,16,100,4000,cosine_decay,0.0006365026066087508,0.75,0.021147713205237145,3.7197425572222765e-06,0.2822556432388877,0.5,0.008310248401180255,0.36424237701172735,
main_d256_b4_r2,A,umiNorm_v1_b32_prb8_u34610_1dmrs_stageA_main_d256_b4_r2,8,PRUNED,-1.1162227034969998,1000,0.0809179264664029,0.106999559502583,0.7562454167341645,0.0809179264664029,1000,32,32,16,100,4000,constant,0.0005809397231941362,,,1.912227231393291e-07,0.3089601517759952,0.5,0.11304439362235329,0.15372369184136675,
main_d256_b4_r2,A,umiNorm_v1_b32_prb8_u34610_1dmrs_stageA_main_d256_b4_r2,9,PRUNED,-1.1557707162043007,2000,0.07175911666126922,0.11365742143243551,0.6313632295795744,0.07175911666126922,2000,32,32,16,100,4000,constant,0.0011846756846122385,,,7.935803724335564e-07,0.06211526700128886,0.5,0.09701928945187067,0.3136992083000011,
main_d256_b4_r2,A,umiNorm_v1_b32_prb8_u34610_1dmrs_stageA_main_d256_b4_r2,10,COMPLETE,-1.2349350165381505,4000,0.06328930488477151,0.11423495997829984,0.5540274614425741,0.06328930488477151,4000,32,32,16,100,4000,constant,0.0007749349842627399,,,1.1957496756294423e-07,0.17257378079061886,0.5,0.09118634538381744,0.5088494568176662,
main_d256_b4_r2,A,umiNorm_v1_b32_prb8_u34610_1dmrs_stageA_main_d256_b4_r2,11,PRUNED,-1.1147244027465706,1000,0.08115089787558342,0.106999559502583,0.7584227285872558,0.08115089787558342,1000,32,32,16,100,4000,constant,0.00035578869061005363,,,1.2484282333728894e-07,0.19454421517469433,0.5,0.07154703012622168,0.5353040719416041,
main_d256_b4_r2,A,umiNorm_v1_b32_prb8_u34610_1dmrs_stageA_main_d256_b4_r2,12,PRUNED,-1.2108282751751338,4000,0.0656657898798585,0.11423495997829984,0.5748309439801302,0.0656657898798585,4000,32,32,16,100,4000,polynomial_decay,0.0011777884555567242,1.25,0.13171744960705922,1.0939086109681177e-07,0.15261361241931337,0.5,0.08670070117613289,0.5199958702930527,1.9151519915268624
main_d256_b4_r2,A,umiNorm_v1_b32_prb8_u34610_1dmrs_stageA_main_d256_b4_r2,13,PRUNED,-1.1219081484068436,1000,0.08003996215605487,0.106999559502583,0.7480401090260814,0.08003996215605487,1000,32,32,16,100,4000,constant,0.000776682134722497,,,6.938803526159689e-07,0.10973966750776695,0.5,0.11703973018477615,0.565184074358833,
main_d256_b4_r2,A,umiNorm_v1_b32_prb8_u34610_1dmrs_stageA_main_d256_b4_r2,14,PRUNED,-1.090261872077819,1000,0.08505087217781693,0.106999559502583,0.7948712366032102,0.08505087217781693,1000,32,32,16,100,4000,constant,0.0011194898525683401,,,2.096484937037118e-07,0.3593474766510838,1.0,0.09978528066204784,0.5567522169268182,
main_d256_b4_r2,A,umiNorm_v1_b32_prb8_u34610_1dmrs_stageA_main_d256_b4_r2,15,PRUNED,-1.1229384138568814,1000,0.07988188786354537,0.106999559502583,0.7465627731076501,0.07988188786354537,1000,32,32,16,100,4000,polynomial_decay,0.0006944692075713249,0.75,0.0856405027907835,3.195301340120699e-06,0.19150918341033976,0.5,0.08089011763134722,0.18138960004732022,0.7265938236076298
main_d256_b4_r2,A,umiNorm_v1_b32_prb8_u34610_1dmrs_stageA_main_d256_b4_r2,16,PRUNED,-1.0676353415869204,1000,0.0888247949575695,0.106999559502583,0.8301416881573727,0.0888247949575695,1000,32,32,16,100,4000,constant,0.0003481938109381064,,,6.44706243024295e-07,0.2025030005899064,1.0,0.07321436693040054,0.3729615679361101,
main_d256_b4_r2,A,umiNorm_v1_b32_prb8_u34610_1dmrs_stageA_main_d256_b4_r2,17,PRUNED,-1.068041389967122,1000,0.08875561548241724,0.106999559502583,0.829495148344743,0.08875561548241724,1000,32,32,16,100,4000,polynomial_decay,0.0003179198053182526,1.0,0.10171955919961523,3.284512557662526e-07,0.07253238569261669,0.5,0.0989622742708559,0.19443196563065274,1.4896580095903502
main_d256_b4_r2,A,umiNorm_v1_b32_prb8_u34610_1dmrs_stageA_main_d256_b4_r2,18,PRUNED,-1.0990153228569053,1000,0.08363426205081244,0.106999559502583,0.7816318351179146,0.08363426205081244,1000,32,32,16,100,4000,cosine_decay,0.0010509456119930825,1.25,0.06112568045279562,1.2841475377461696e-07,0.10469808490938781,2.0,0.08414213250704426,0.20380021805688348,
main_d256_b4_r2,A,umiNorm_v1_b32_prb8_u34610_1dmrs_stageA_main_d256_b4_r2,19,PRUNED,-1.1029287384387008,1000,0.08300859242444858,0.106999559502583,0.7757844313596892,0.08300859242444858,1000,32,32,16,100,4000,cosine_decay,0.0009752006792342708,1.0,0.013657500320054044,2.120164796681288e-07,0.19620787688723101,1.0,0.10875601982155696,0.3711015379171857,
main_d256_b4_r2,B,umiNorm_v1_b32_prb8_u34610_1dmrs_stageB_main_d256_b4_r2,0,COMPLETE,-1.2691486354702688,12000,0.05987672622237975,0.10803883707073207,0.5542148346448693,0.05959259014343843,11000,16,16,8,25,12000,constant,0.0007749349842627399,,,1.1957496756294423e-07,0.17257378079061886,0.5,0.09118634538381744,0.5088494568176662,
main_d256_b4_r2,B,umiNorm_v1_b32_prb8_u34610_1dmrs_stageB_main_d256_b4_r2,1,COMPLETE,-1.295573761626451,12000,0.05660186571185477,0.10803883707073207,0.52390295236886,0.0565943256757843,11000,16,16,8,25,12000,constant,0.0009643418646698049,,,1.2083509754787337e-07,0.16251789877216094,0.5,0.10909540498640775,0.22990166745555007,
main_d256_b4_r2,B,umiNorm_v1_b32_prb8_u34610_1dmrs_stageB_main_d256_b4_r2,2,COMPLETE,-1.2925240598516208,12000,0.05726357607636601,0.10803883707073207,0.5300276977146288,0.05691442119617326,11000,16,16,8,25,12000,cosine_decay,0.0005712916127949584,1.25,0.02159904793462117,9.654662480652895e-06,0.4788048920718949,0.5,0.02639429712150497,0.18647863554958427,
main_d256_b4_r2,B,umiNorm_v1_b32_prb8_u34610_1dmrs_stageB_main_d256_b4_r2,3,COMPLETE,-1.2543637946606225,12000,0.06213769640695924,0.10803883707073207,0.5751422182217515,0.06128774546474839,11000,16,16,8,25,12000,cosine_decay,0.0004568972058255479,0.75,0.02308016679308127,9.040091747332144e-06,0.05813033561196787,0.5,0.05667887955460827,0.6548860289390384,
main_d256_b4_r2,B,umiNorm_v1_b32_prb8_u34610_1dmrs_stageB_main_d256_b4_r2,4,COMPLETE,-1.2471250521374986,12000,0.06307480463874526,0.10803883707073207,0.583816027170403,0.062113740209800504,11000,16,16,8,25,12000,cosine_decay,0.0004983159357242532,0.75,0.012154545064008537,7.693520676908999e-07,0.12243400701824686,1.0,0.007912361628708613,0.3228873595847961,
main_d256_b4_r2,B,umiNorm_v1_b32_prb8_u34610_1dmrs_stageB_main_d256_b4_r2,5,COMPLETE,-1.229601601055455,12000,0.06511091963814881,0.10803883707073207,0.6026621667125246,0.06431872788622665,11000,16,16,8,25,12000,cosine_decay,0.0002210893178410695,1.0,0.036430683993363126,1.613671536589336e-06,0.3169058880316735,0.5,0.03312588579968341,0.4217057595278402,
shallow_d256_b2_r2,A,umiNorm_v1_b32_prb8_u34610_1dmrs_stageA_shallow_d256_b2_r2,0,COMPLETE,-1.1927763999585972,4000,0.06961442733881995,0.11423495997829984,0.6093968724814537,0.06961442733881995,4000,32,32,16,100,4000,polynomial_decay,0.0009853008740127948,1.0,0.13612300501692498,5.389013158367834e-07,0.28138694530297775,0.5,0.0019515787070138262,0.6398616818004758,1.4955832928541228
shallow_d256_b2_r2,A,umiNorm_v1_b32_prb8_u34610_1dmrs_stageA_shallow_d256_b2_r2,1,COMPLETE,-1.1394760615760502,4000,0.07770262400542076,0.11423495997829984,0.680200037013023,0.07770262400542076,4000,32,32,16,100,4000,cosine_decay,0.0004983159357242532,0.75,0.012154545064008537,7.693520676908999e-07,0.12243400701824686,1.0,0.007912361628708613,0.3228873595847961,
shallow_d256_b2_r2,A,umiNorm_v1_b32_prb8_u34610_1dmrs_stageA_shallow_d256_b2_r2,2,COMPLETE,-1.1842714671333474,4000,0.07001503316375117,0.11423495997829984,0.6129037308460674,0.07001503316375117,4000,32,32,16,100,4000,constant,0.0009643418646698049,,,1.2083509754787337e-07,0.16251789877216094,0.5,0.10909540498640775,0.22990166745555007,
shallow_d256_b2_r2,A,umiNorm_v1_b32_prb8_u34610_1dmrs_stageA_shallow_d256_b2_r2,3,COMPLETE,-1.1236095497408876,4000,0.07973592214208718,0.11423495997829984,0.6979993003650885,0.07973592214208718,4000,32,32,16,100,4000,cosine_decay,0.0002210893178410695,1.0,0.036430683993363126,1.613671536589336e-06,0.3169058880316735,0.5,0.03312588579968341,0.4217057595278402,
shallow_d256_b2_r2,A,umiNorm_v1_b32_prb8_u34610_1dmrs_stageA_shallow_d256_b2_r2,4,COMPLETE,-1.1055305911829738,4000,0.0817047754341426,0.11423495997829984,0.7152344207908271,0.0817047754341426,4000,32,32,16,100,4000,cosine_decay,0.0002150875602723823,1.25,0.016301500139320635,2.795475110283828e-05,0.09844608545417897,1.0,0.049786317412733185,0.1508561283376549,
shallow_d256_b2_r2,A,umiNorm_v1_b32_prb8_u34610_1dmrs_stageA_shallow_d256_b2_r2,5,COMPLETE,-1.1616430301222147,4000,0.07455949657984699,0.11423495997829984,0.6526854528071824,0.07455949657984699,4000,32,32,16,100,4000,cosine_decay,0.0004568972058255479,0.75,0.02308016679308127,9.040091747332144e-06,0.05813033561196787,0.5,0.05667887955460827,0.6548860289390384,
shallow_d256_b2_r2,A,umiNorm_v1_b32_prb8_u34610_1dmrs_stageA_shallow_d256_b2_r2,6,PRUNED,-1.0434877098499715,1000,0.09303733035145949,0.106999559502583,0.869511339896811,0.09303733035145949,1000,32,32,16,100,4000,polynomial_decay,0.0005282942092946875,0.75,0.024074361764179382,3.5182369647795597e-07,0.0963980983750926,2.0,0.06268681536019342,0.42637817769796615,1.0905445756134515
shallow_d256_b2_r2,A,umiNorm_v1_b32_prb8_u34610_1dmrs_stageA_shallow_d256_b2_r2,7,COMPLETE,-1.173726138950363,4000,0.07282382385650028,0.11423495997829984,0.6374915688711578,0.07282382385650028,4000,32,32,16,100,4000,cosine_decay,0.0006365026066087508,0.75,0.021147713205237145,3.7197425572222765e-06,0.2822556432388877,0.5,0.008310248401180255,0.36424237701172735,
shallow_d256_b2_r2,A,umiNorm_v1_b32_prb8_u34610_1dmrs_stageA_shallow_d256_b2_r2,8,PRUNED,-1.0934020319901083,1000,0.08453994708058114,0.106999559502583,0.7900962160366681,0.08453994708058114,1000,32,32,16,100,4000,polynomial_decay,0.00047033526840984,1.0,0.14729818799371538,4.955462842401963e-07,0.10689869727463047,0.5,0.029066727356288194,0.7264252456757452,1.9014867108139766
shallow_d256_b2_r2,A,umiNorm_v1_b32_prb8_u34610_1dmrs_stageA_shallow_d256_b2_r2,9,COMPLETE,-1.197258733338216,4000,0.0686227292753756,0.11423495997829984,0.6007156590978036,0.0686227292753756,4000,32,32,16,100,4000,polynomial_decay,0.0008879971670485024,1.25,0.08107556792162035,3.680522597176811e-07,0.4158340307310977,0.5,0.019254335641862495,0.5769513207434013,1.4100449868075324
shallow_d256_b2_r2,A,umiNorm_v1_b32_prb8_u34610_1dmrs_stageA_shallow_d256_b2_r2,10,PRUNED,-1.0623709496935536,1000,0.08972659906915699,0.106999559502583,0.8385697986634325,0.08972659906915699,1000,32,32,16,100,4000,polynomial_decay,0.000994257826032453,1.25,0.057969700028485775,4.805750538722795e-07,0.4220125262647354,2.0,0.02264107987125362,0.2986374391721315,0.7540934304056062
shallow_d256_b2_r2,A,umiNorm_v1_b32_prb8_u34610_1dmrs_stageA_shallow_d256_b2_r2,11,PRUNED,-1.095516365976419,1000,0.08419766092750554,0.106999559502583,0.7868972668571872,0.08419766092750554,1000,32,32,16,100,4000,polynomial_decay,0.0007352485628292937,1.25,0.12483731988648952,1.7153987068647464e-07,0.35977031346013616,0.5,0.048964615805641064,0.5275730859127643,1.48911960578789
shallow_d256_b2_r2,A,umiNorm_v1_b32_prb8_u34610_1dmrs_stageA_shallow_d256_b2_r2,12,PRUNED,-1.1485812869187646,3000,0.07324957395515715,0.11448401730740443,0.6398235812993227,0.07324957395515715,3000,32,32,16,100,4000,polynomial_decay,0.0006537727499905641,0.75,0.12715889599091257,2.2499915939443214e-06,0.36284324419302166,0.5,0.00046229460257700417,0.5896371455920416,1.4132731949540764
shallow_d256_b2_r2,A,umiNorm_v1_b32_prb8_u34610_1dmrs_stageA_shallow_d256_b2_r2,13,PRUNED,-1.0953629297912446,1000,0.08422245376277715,0.106999559502583,0.7871289765519455,0.08422245376277715,1000,32,32,16,100,4000,cosine_decay,0.0010446337694145558,1.0,0.07373152482812051,6.188464175838216e-07,0.2854504975949094,0.5,0.026582646562628855,0.6090350691424271,
shallow_d256_b2_r2,A,umiNorm_v1_b32_prb8_u34610_1dmrs_stageA_shallow_d256_b2_r2,14,PRUNED,-1.0226501784122024,1000,0.09683265721347804,0.106999559502583,0.9049818304265119,0.09683265721347804,1000,32,32,16,100,4000,constant,0.00015396249414959844,,,1.7288149931295163e-07,0.2209584312521973,1.0,0.00638236685157448,0.5712020541288694,
shallow_d256_b2_r2,A,umiNorm_v1_b32_prb8_u34610_1dmrs_stageA_shallow_d256_b2_r2,15,PRUNED,-1.0627521901309254,1000,0.08966098518188421,0.106999559502583,0.8379565822391987,0.08966098518188421,1000,32,32,16,100,4000,constant,0.0009988826823417018,,,4.978892399336998e-07,0.4295449684159567,1.0,0.007283411427973528,0.6854683189295377,
shallow_d256_b2_r2,A,umiNorm_v1_b32_prb8_u34610_1dmrs_stageA_shallow_d256_b2_r2,16,PRUNED,-1.0476101181203499,1000,0.09230429293044533,0.106999559502583,0.8626604946744391,0.09230429293044533,1000,32,32,16,100,4000,polynomial_decay,0.0005631343457130507,1.25,0.06713876082591978,3.118388442512028e-06,0.49553494062794856,1.0,0.053442722642615084,0.6265372460841391,1.6250893008228358
shallow_d256_b2_r2,A,umiNorm_v1_b32_prb8_u34610_1dmrs_stageA_shallow_d256_b2_r2,17,COMPLETE,-1.1896158423642766,4000,0.06948988661558057,0.11423495997829984,0.6083066569882015,0.06948988661558057,4000,32,32,16,100,4000,constant,0.0004865053541117016,,,1.4794310317901805e-07,0.49963113076934834,0.5,0.017200942176381562,0.49115796934029887,
shallow_d256_b2_r2,A,umiNorm_v1_b32_prb8_u34610_1dmrs_stageA_shallow_d256_b2_r2,18,PRUNED,-1.0546939841816136,1000,0.09105811970463644,0.106999559502583,0.8510139679821604,0.09105811970463644,1000,32,32,16,100,4000,polynomial_decay,0.0010539616097385326,0.75,0.06488828229952022,1.648675804244975e-07,0.1629916589891021,2.0,0.01271467951292079,0.4823297728908407,1.1704549961301567
shallow_d256_b2_r2,A,umiNorm_v1_b32_prb8_u34610_1dmrs_stageA_shallow_d256_b2_r2,19,PRUNED,-1.046788041303419,1000,0.09245001029921696,0.106999559502583,0.8640223448488606,0.09245001029921696,1000,32,32,16,100,4000,polynomial_decay,0.0008253033337817905,1.0,0.07759152526479515,9.134188544810445e-06,0.12653052628461553,2.0,0.013115637517984533,0.6677257042846276,1.4046644152258476
shallow_d256_b2_r2,B,umiNorm_v1_b32_prb8_u34610_1dmrs_stageB_shallow_d256_b2_r2,0,COMPLETE,-1.2328720662833756,12000,0.06435731386106151,0.10803883707073207,0.5956868437868074,0.06395831437354597,11000,16,16,8,25,12000,polynomial_decay,0.0008879971670485024,1.25,0.08107556792162035,3.680522597176811e-07,0.4158340307310977,0.5,0.019254335641862495,0.5769513207434013,1.4100449868075324
shallow_d256_b2_r2,B,umiNorm_v1_b32_prb8_u34610_1dmrs_stageB_shallow_d256_b2_r2,1,COMPLETE,-1.2313626888079192,12000,0.06473670504055917,0.10803883707073207,0.5991984622916352,0.06404092582912806,11000,16,16,8,25,12000,polynomial_decay,0.0009853008740127948,1.0,0.13612300501692498,5.389013158367834e-07,0.28138694530297775,0.5,0.0019515787070138262,0.6398616818004758,1.4955832928541228
shallow_d256_b2_r2,B,umiNorm_v1_b32_prb8_u34610_1dmrs_stageB_shallow_d256_b2_r2,2,COMPLETE,-1.23942173387408,12000,0.06348837658879347,0.10803883707073207,0.5876440205222516,0.06307948171161115,11000,16,16,8,25,12000,constant,0.0004865053541117016,,,1.4794310317901805e-07,0.49963113076934834,0.5,0.017200942176381562,0.49115796934029887,
shallow_d256_b2_r2,B,umiNorm_v1_b32_prb8_u34610_1dmrs_stageB_shallow_d256_b2_r2,3,COMPLETE,-1.2338020945866546,12000,0.06429992459015921,0.10803883707073207,0.5951556526664815,0.06380093347009581,11000,16,16,8,25,12000,constant,0.0009643418646698049,,,1.2083509754787337e-07,0.16251789877216094,0.5,0.10909540498640775,0.22990166745555007,
